Table 5. M2 tidal current parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Record ,Instr,Above,Fourier Coefficients,,,,,,,,Current Ellipse Parameters,,,,,,,,,,,,,,
Station,Length,Depth,Bottom,East,Error,PHASE,Error,North,Error,PHASE,Error,Umajor,Error,Uminor,Error,PHASE,Error,Orien,Error,Lat. (N),,Long.(W),,,,
,(Days),(M),(M),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(DEG TRUE),(DEG TRUE),DEG,MIN,DEG,MIN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SS10,32,200,1400,1.3,0.0,178,0.0,1.6,0.0,68,0.0,1.7,0.0,1.1,0.0,48,0.0,331,0.0,43,34,59,4,,,
SS10,22,500,1100,3,0.0,65,0.0,2.5,0.0,320,0.0,3.2,0.0,2.3,0.0,266,0.0,297,0.0,43,34,59,4,,,
SS10,12,1500,100,0.3,0.0,329,0.0,2.6,0.0,194,0.0,2.6,0.0,0.2,0.0,194,0.0,355,0.0,43,34,59,4,,,
SS2A,35,555,245,4.2,0.0,192,0.0,4.7,0.0,126,0.0,5.3,0.0,3.4,0.0,152,0.0,37,0.0,42,52,62,0,,,
SS8,5,200,1350,5,0.0,147,0.0,3.7,0.0,73,0.0,5.2,0.0,3.4,0.0,133,0.0,69,0.0,42,37,62,5,,,
SS8,36,1500,50,2.8,0.0,66,0.0,2.5,0.0,287,0.0,3.5,0.0,1.3,0.0,264,0.0,311,0.0,42,37,62,5,,,
SS1,35,290,260,2.3,0.0,329,0.0,4.4,0.0,208,0.0,4.6,0.0,1.9,0.0,200,0.0,342,0.0,42,52,62,14,,,
SS1,35,490,60,2.9,0.0,164,0.0,3.5,0.0,344,0.0,4.5,0.0,0,0.0,344,0.0,320,0.0,42,52,62,14,,,
S53,238,20,79,12.8,0.8,63,8.0,16.8,1.4,301,7.0,18.7,1. 5,9.7,0.9,283,5.0,329,4.0,43,22,62,40,,,
S53,149,50,49.0,12.6,1.5,36,9.0,16.7,1.0,285,8.0,17.8,1.2,10.9,0.8,268,12.0,334,9,43,22,62,40,,,
S53,47,81,18.0,7.7,0.0,49.0,0.0,12.5,0.0,254.0,0.0,14.4,0.0,2.8,0.0,247,0.0,330.0,0.0,43,22,62,40,,,
S53,15,91,8,9.8,0.0,70,0.0,15.5,0.0,307,0.0,16.7,0.0,7.6,0.0,295.0,0.0,336,0.0,43,22,62,40,,,
S53,136,95,4,7.9,0.7,41.0,8,11.5,1 . 8,279.0,6,12.5,1.7,6.2,0.4,265.0,0.0,333,5.0,43,22,62,40,,,
SS7,27,50,75,9.4,0.0,56.0,0.0,13.9,0.0,284.0,0.0,15.6,0.0,6.2,0.0,271,0.0,331.0,0.0,43,2,62,54,,,
SS7,27,118,7.0,8.5,0.0,61.0,0.0,10.2,0.0,289.0,0.0,12.2,0.0,5.3,0.0,271,0.0,323.0,0.0,43,2,62,54,,,
SS2,189,20,258,5.8,3.4,151,7.0,2.3,3,231,96,5.8,3.4, 1. 4,3.6,258,95.0,283,93.0,43,45,62,59,,,
SS2,283,50,22.8,2.9,1.5,178,35.0,3.1,1.6,265,35.0,4.5,0.8,0.9,0.8,289,51.0,328,52,43,45,62,59,,,
SS2,166,95,183.0,1.8,0.8,92,56.0,3.8,1.5,278,16.0,4.2,1.2,0,1.3,284,29.0,334,19,43,45,62,59,,,
SS2,272,250,28,5.4,1.2,56.0,18,7.5,1.5,289.0,13,8.4,1.5,3.9,1.2,275.0,10,331.0,6,43,45,62,59,,,
SS6,26,50,85,8.9,0.0,72.0,0.0,11.5,0.0,298.0,0.0,13.5,0.0,5.5,0.0,282,0.0,325.0,0.0,43,15,63,22,,,
SS6,27,130,5.0,5.6,0.0,63.0,0.0,10.9,0.0,279.0,0.0,11.9,0.0,3.0,0.0,273,0.0,336.0,0.0,43,15,63,22,,,
SS1,211,14,87,3.2,0.6,145,69.0,1. 1,1.5,103,32.0,3.6,1.0,0.1,0.3,116,27.0,50,64.0,44,26,63,29,,,
SS1,187,95,6.0,1.2,0.6,281,89.0,2.2,0.5,136,82.0,2.4,0.6,0.1,1.1,137,84.0,353,22,44,26,63,29,,,
S5,262,50,1470,6.2,4.9,149,2.0,4.6,4.0,108,43.0,6.7,5.1,3.7,4.9,138,11.0,63,0.0,42,30,63,30,,,
S5,262,150,1370.0,4.5,1.6,145,4.0,2.2,1. 7,87,1.0,4.7,1.8,1.8,1.4,138,2.0,74,8,42,30,63,30,,,
S5,370,1514,10.0,1.7,0.0,96.0,0.0,2.3,0.0,287.0,0.0,2.8,0.0,0.3,0.0,283,0.0,324.0,0.0,42,30,63,30,,,
SS5,14,150,1575,3.5,0.0,273.0,0.0,6.5,0.0,227.0,0.0,7,0.0,2.3,0.0,235,0.0,23.0,0.0,42,35,63,30,,,
SS5,14,1000,725.0,5.3,0.0,132,2.0,2.9,0.2,359.0,6,5.7,0.1,2.0,0,320.0,1.0,294,3.0,42,35,63,30,,,
SS4,94,20,1000,14.5,4.1,98,16.0,12.6,2.0,12,22.0,14.7,4.3,12.4,1.7,278,2.0,269,21.0,42,40,63,30,,,
SS4,584,50,970.0,3.1,0.1,111,6.0,3.9,0.1,354,1.0,4.4,0.1,2.5,0.2,335,3.0,329,5,42,40,63,30,,,
SS4,204,100,920.0,3.8,0.0,166.0,0.0,3.7,0.0,37.0,0.0,4.8,0.0,2.3,0.0,10,0.0,314.0,0.0,42,40,63,30,,,
SS4,676,150,870,5.8,2.8,132.0,20,4.8,2,20.0,34,6.2,2.4,4.2,2.6,330.0,20,299.0,19,42,40,63,30,,,
SS4,36,200,820,7.2,0.0,165,0.0,4.3,0.0,70,0.0,7.2,0.0,4.3,0.0,348.0,0.0,275,0.0,42,40,63,30,,,
SS4,363,500,520,2.4,1.1,136.0,110,1.3,0. 6,306,131.0,2.7,1.1,0.2,0.7,232,87.0,315,119.0,42,40,63,30,,,
