Table7 S2 tidal Clment parameters (see table 5 for explanation),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 7. S2 TIDAL CURRENT PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station,Record,Instr.,Above,,Fourier Coefficients,,,,,,,,,Current Ellipse Parameters,,,,,,,,
Lat.,Length,Depth,Bottom,,East,Error,Phase,Error,North,Error,Phase,Error,,Umajor,Error,Uminor,Error,Phase,Error,Orien,Error,
Long.,(Days),(m),(m),,(cm/s),(cm),(deg-g),(deg),(cm/s),(cm),(deg-g),(deg),,(cm/sec),(cm),(cm/sec),(cm),(deg-g),(deg),(deg-true),(deg),
,,,,,,,,,,,,,,,,,,,,,,
Scotian Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SS10,32,200,1400,,0.8,0,179,0,0.8,0,42,0,,1.1,0,-0.4,0,21,0,315,0,
43 34 N,22,500,1100,,0.5,0,246,0,0.1,0,274,0,,0.5,0,0,0,247,0,80,0,
59 04 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SS2A,35,555,245,,0.9,0,271,0,1.5,0,193,0,,1.5,0,-0.9,0,199,0,11,0,
42 52 N,,,,,,,,,,,,,,,,,,,,,,
62  00 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SS8,36,1500,50,,0.6,0,123,0,0.6,0,335,0,,0.8,0,-0.2,0,319,0,315,0,
42 37 N,,,,,,,,,,,,,,,,,,,,,,
62 05 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SS1A,35,290,260,,1.5,0,240,0,1.9,0,218,0,,2.4,0,-0.4,0,226,0,38,0,
42 52 N,35,490,60,,0.5,0,46,0,1.3,0,271,0,,1.4,0,-0.3,0,267,0,344,0,
62 14 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SS3,238,20,79,,3.6,1.2,96,36,4.9,2.1,339,24,,5.4,2,-2.7,1.4,323,43,329,24,
43 22 N,149,50,49,,2.4,0.7,49,14,3.6,1.1,304,8,,3.8,1.1,-1.2,0.8,298,18,348,17,
